Galaxy,m,rc,mu,B,chi2_pt,is_boundary,dAIC,dAIC_permodel,rmin,ef,N
F583-4,0.010787053076703189,92.70372481615959,0.0,3904.854806121595,0.9040909586060876,False,6.3471489596361295,6.3471489596361295,2.0,3.0,8
IC2574,0.0012499999999999996,,4.463374280643494,0.0,1.943359973744357,True,16.50425294831055,16.50425294831055,3.0,6.0,26
IC4202,0.0012499999999999996,,0.7154390679489593,18881.410502374292,6.096502828541139,True,141.97492758451816,141.97492758451816,3.0,6.0,29
KK98-251,0.0012499999999999996,,3.5248898398497572,287.0232647216689,0.013362761426025587,True,0.02589797444394648,0.02589797444394648,2.0,3.0,4
NGC0024,0.0012499999999999996,,0.0,14141.347909633812,5.558256487293421,True,22.12593118986005,26.403314837588105,3.0,6.0,4
NGC0055,0.5,2.0,3.626420461737149,0.0,3.7997438130476713,False,66.09057457919809,75.99636282934539,3.0,6.0,18
NGC0100,0.14955951043015286,6.686301640891095,1.348331521329793,3450.909467346939,4.282614861453112,False,61.352509724625634,66.41850574877911,3.0,6.0,14
NGC0247,0.5,2.0,2.763870543520757,0.0,1.6950718129177076,False,33.73396976440836,49.50765020203164,2.0,4.0,24
NGC0289,0.0013625414570624741,733.9226229166757,0.1662309934215457,25745.623938397654,1.2866041807551694,False,0.6611209720020668,0.6611209720020668,3.0,6.0,26
NGC0300,0.11060507192089296,9.041176707657861,0.0,10088.285291075437,4.001781007148265,False,76.43824468864494,80.88468869261952,3.0,6.0,20
NGC0801,0.005412340596888974,184.76294721267215,0.0,54160.03494122863,0.5033706528485863,False,-0.9814486079453957,-0.9814486079453957,3.0,3.0,9
NGC0891,0.009896077859494246,101.05013462890302,0.0,51183.4458243948,1.4601059532517775,False,14.735702627816224,16.891294187051273,3.0,4.0,16
NGC1003,0.0012499999999999996,,0.0,12135.203035078688,5.072456548621304,True,154.8301118815018,168.3896162378893,3.0,6.0,33
NGC1090,0.0012499999999999996,,0.25320850906370607,20664.491340444227,2.1448174323359104,True,34.686727603495825,42.58132710562252,2.0,6.0,21
NGC1705,0.0012499999999999996,,0.0,5078.099018062915,0.04088135584877491,True,0.280274901446262,0.280274901446262,3.0,4.0,7
NGC2366,0.041041039603174026,24.365854512190822,0.0,2083.7599777087767,0.1656107766366291,False,0.1369287577220888,0.1369287577220888,3.0,3.0,13
NGC2403,0.0012499999999999996,,0.0,17855.2951362656,6.500356730402279,True,274.8973315997747,302.53001231538394,3.0,6.0,44
NGC2683,0.034541319913449255,28.95083345123221,0.0,45922.01158967937,0.7545226619710496,False,-0.12944208183499484,-0.12944208183499484,3.0,4.0,10
NGC2841,0.0012499999999999996,,0.3147671083819946,73763.90020000577,1.0834159307519784,True,25.945827789349835,25.945827789349835,0.0,6.0,50
NGC2903,0.013970821760307176,71.5777509123424,0.0908642316123381,38581.834612125764,0.19769682070400688,False,0.28478411645433255,0.28478411645433255,3.0,3.0,25
NGC2915,0.004002636270054166,249.83534164258882,0.0,6592.10754899502,0.14296371824137769,False,-0.08437314070724256,-0.08437314070724256,3.0,4.0,22
NGC2955,0.00436300628439257,229.19976154451558,0.0,67387.85099825315,1.7532292855959473,False,-10.471328441048882,-10.471328441048882,3.0,6.0,21
NGC2976,0.5,2.0,0.9877273545225124,0.0,0.8790548342506094,False,3.44013371833384,3.44013371833384,0.0,3.0,27
NGC2998,0.004555181590069486,219.53021635406324,0.0,46337.016556933195,0.6151287954734743,False,-2.1794361591620017,-2.1794361591620017,3.0,3.0,9
NGC3109,0.0817967503333008,12.225424554462814,0.08798824244682606,3591.3601347415665,1.6122913845857458,False,24.335935179884913,41.14004459794432,3.0,6.0,14
NGC3198,0.0012499999999999996,,0.0,19968.909957427615,4.417024828114431,True,142.31583699907026,169.22243923148278,3.0,6.0,34
NGC3521,0.014586188039276105,68.55800825461104,0.0,47415.497507418586,0.07456245265496322,False,-0.9142469828275068,-0.9142469828275068,3.0,6.0,26
