Galaxy,Q,inc0,nll_R,chi_R,nll_Y,chi_Y,bY,nll_N,chi_N,bN,N
NGC2998,1,58.0,111.63191630222758,1.4840132436359967,118.92101924067853,0.40068390507156365,True,104.65330974137692,1.4419088740659214,True,13
NGC3109,1,70.0,165.4319347307062,2.412457223263808,289.372472652583,5.948107744718267,True,293.5135480115739,7.801133375593066,True,25
NGC3198,1,73.0,281.0865249174928,0.3544324494453917,433.2829227433625,2.134265672020241,True,261.4274052887527,0.5028941282184433,True,43
NGC3521,1,75.0,319.0052433603944,0.31950954709989227,375.3088341939235,0.18912730512684853,True,298.0209795219448,0.13724125701197196,True,41
NGC3726,2,53.0,89.6316019007209,0.9532286048377355,114.40412219491323,1.270613855286811,True,82.8728288690593,0.8345137350035459,True,12
NGC3741,1,70.0,102.58795468621602,0.9404693971337662,205.55450864886552,4.4168044966211815,True,85.49726847858487,0.32565478560725164,True,21
NGC3769,2,70.0,84.03550712023696,0.6113022998991743,106.82663677786748,1.0707427207237223,True,80.85582568767033,0.642084142016561,True,12
NGC3877,2,76.0,130.40609939899286,3.568693332705036,131.0563494666412,1.9533275709771933,False,124.06938852529149,3.512183403441133,True,13
NGC3893,1,49.0,75.4663702612151,0.6501862043927515,94.37581410775604,0.8321966003945171,True,70.7729087746568,0.5919462567149474,True,10
NGC3917,1,79.0,127.71514360215612,1.7156036641820005,144.91073804102123,0.9419825243227473,False,124.60077729621418,2.015405709044146,True,17
NGC3949,2,55.0,50.29549229707243,0.3665486547674516,60.97769276358989,0.34213267024156563,False,48.13302353462601,0.40129510872731305,True,7
NGC3953,1,62.0,58.794073361219404,0.39694629929106595,71.52314444990722,0.03150955155525949,False,52.531974140870055,0.1802243928410804,True,8
NGC3972,1,77.0,67.9024394125065,0.9429127554668906,81.29005590114637,0.6510223716152783,False,63.9425931510755,0.9268062581604294,True,10
NGC3992,1,56.0,68.75109314234687,0.439253474948069,84.16912973737567,0.11162471086937191,True,61.21909576860068,0.2438463746400249,True,9
NGC4010,2,89.0,88.62587948026933,1.4906997937843298,100.42222782117794,0.9712715631815994,True,84.47111671752965,1.4726910600366556,True,12
NGC4013,2,89.0,260.9729650677737,0.6410444110652,315.6444207557543,0.21506610559787015,True,230.03103603620906,0.343394950734483,True,36
NGC4051,2,49.0,51.02107174493226,0.5443339804086905,59.00908252737058,0.2123825792367283,False,49.37043590145076,0.7131046458773797,True,7
NGC4068,2,44.0,36.6761564034282,1.313046993673328,33.93509889202035,0.739935803951766,False,32.611628564560235,1.5696995968542138,True,6
NGC4085,2,82.0,64.75046470529833,3.188383957365756,66.75438355092673,1.9508901675509716,False,61.678245500981,3.091766577803683,True,7
NGC4088,1,69.0,85.07431356796931,0.3847225817171403,109.96594021402268,0.7636989032106802,False,78.75282987495615,0.2676371824108981,True,12
NGC4100,1,73.0,169.57729747222385,0.4085483370231628,211.09085381923776,0.2687032508129688,True,158.502108647542,0.4607035995458559,True,24
NGC4138,2,53.0,55.76308240684599,0.5221662332395026,62.93814244604688,0.33952475293139733,True,55.228585038575396,0.66481782054517,True,7
NGC4157,1,82.0,124.0253171189787,0.36693909601623637,166.30379899442983,1.1575840749252084,True,114.6083595182343,0.22333687711990938,True,17
NGC4183,1,82.0,145.78339198468774,0.35355199948023924,187.24674033674796,0.6266391718004061,True,133.3732184766061,0.13213862128309972,True,23
NGC4214,2,15.0,96.29221775301355,0.9860938133528508,102.27133880060642,1.0284905699458944,True,79.34604207668765,0.7394173857668548,True,14
NGC4217,1,86.0,230.82879137144675,5.456553736163278,243.69507772896486,4.394257537779083,False,175.8025604491925,2.9998542412355,True,19
NGC4389,3,50.0,58.51662668880252,3.5503103994225698,56.76027370457671,2.3206585374920095,False,66.83675310104265,5.312917185742511,False,6
NGC4559,1,67.0,202.9755386056103,0.34141293822856633,280.44083970511866,1.1087119375602128,True,183.87954576756343,0.13975251265377747,True,32
NGC5005,1,68.0,149.76771016057378,0.08070978828258348,173.72528399289826,0.18538089240755612,False,145.88842447528123,0.06924419583564626,True,18
NGC5033,1,66.0,169.26858005202135,0.8819545844830435,197.6913594850416,0.1079804325186431,True,144.17174917980887,0.4428027697666552,True,22
NGC5055,1,55.0,193.79461757891104,0.1012350709597895,261.9858393266824,0.7204675245114462,True,167.38598197822492,0.1513969713930248,True,28
NGC5371,1,53.0,153.58398281224984,1.2793410647404564,171.96433986693805,0.09296818637744234,True,144.68520534019834,1.504929243874077,True,19
NGC5585,1,51.0,176.77570132177652,2.9769460281836366,212.98694119500698,2.6857821212663726,False,156.03573476980316,2.5714280511191667,True,24
NGC5907,1,88.0,156.60294110783832,1.4236240587639966,173.03406726779514,0.14935537281975647,True,133.61987980713585,0.9727287175278786,True,19
NGC5985,1,60.0,311.7197572585095,2.062197259766803,313.71309842477973,0.06754786337919802,True,235.03827655325725,0.4629385743566399,True,33
NGC6015,2,60.0,321.8758661700488,1.2729791631684162,423.24449679012776,1.6208316205977555,False,322.75421999663814,1.911156412906598,True,44
NGC6195,1,62.0,185.47085866916905,0.7815542619390689,215.61789256955424,0.26880914039287235,False,171.9115458588789,0.9265887480224275,True,23
NGC6503,1,74.0,185.618530017719,0.4138297860608148,254.57710989087718,0.5583466700704078,True,162.58986519966626,0.38015991936042515,True,31
NGC6674,1,54.0,116.71253040735613,0.6079610428156433,140.1071312500569,0.1343503185926276,True,100.25943567932927,0.25082120434963356,True,15
NGC6789,2,43.0,23.486903773540167,1.0365224821652683,31.88272713054951,2.4484771541220334,True,24.431095953421583,1.2047012173573406,True,4
NGC6946,1,38.0,381.72120117685176,0.1824205860498639,499.8681137729464,0.390515259623405,True,360.5217211526676,0.3586752089388368,True,58
NGC7331,1,75.0,266.0941379943182,0.34089352935218303,342.9240180990173,0.3805339221609388,True,235.1894714539677,0.17781990447585505,True,36
NGC7793,1,47.0,299.85032322290067,0.5593979618843303,326.4955894390443,0.5416837569174083,False,277.2569390043169,0.7041334189772772,True,46
NGC7814,1,90.0,153.38897119929717,1.565736371253475,168.05397141429998,0.3370684375930922,True,115.02290938520997,0.10205672037477737,True,18
PGC51017,3,66.0,168.9917479182305,24.426917581615005,30.132221441861418,0.5300241039032605,True,27.531203432925466,1.14107066722166,False,6
UGC00128,1,57.0,135.95216867682427,0.575466394520083,191.79221912556488,1.20048850379277,True,113.07652653254652,0.36645447073052184,True,22
UGC00191,1,45.0,50.1473746086395,1.0731621953664012,60.14047060374449,0.6368257858423882,False,47.251850079101715,1.3730276557573184,True,9
UGC00634,2,37.0,23.545322259680848,0.6014489347945444,33.225503079742126,1.2774528266745384,True,21.074110321114443,0.8817928248128686,True,4
UGC00731,1,57.0,84.54873372523414,2.3324093248704667,93.97726911668495,1.4577119096245392,True,54.09414799488553,0.19279206751837588,True,12
UGC00891,2,60.0,35.05915860806299,2.9515852522258,46.67186941671773,3.4731537857107626,True,25.57497506718215,1.674679682892089,True,5
UGC01230,1,22.0,89.08126362872312,1.2461147883024777,75.35354708733067,0.44665717512439396,False,70.97307889036554,0.646587020562055,True,11
UGC01281,1,90.0,151.6013013246911,0.9543995145423176,187.04979107533842,1.686861535377643,True,158.36796023704355,1.3171923812861572,True,25
UGC02023,2,19.0,35.045067785085095,0.7915845893865153,32.023349921070256,0.4711835553637938,False,31.182691832170256,0.6814444357751516,False,5
UGC02259,2,41.0,50.91585448201768,1.4150882174699357,58.13262300311726,0.42781824896069587,True,35.72273852851777,0.21043658376162255,True,8
UGC02455,3,51.0,70.53694696029095,4.131883199163703,61.104459030636406,2.0673923083045787,False,62.57173142684563,3.1661558927823688,True,8
UGC02487,1,36.0,132.7682472118263,0.1529880520005673,168.0378704084618,0.14436443845116403,True,121.36390065114398,0.3454708971788508,True,17
UGC02885,1,64.0,157.1013776692962,0.6723510086185268,189.50606047596327,0.4726843624565741,True,146.72808022103183,0.6892620646811092,True,19
UGC02916,2,50.0,350.4148411634202,1.2664690662886353,385.8463501555848,0.23430626038849162,True,327.00675610943466,1.2976467080375806,True,43
UGC02953,2,50.0,895.5823282989093,0.656613800015058,1093.063034694919,0.37925649498880853,True,867.1423395125655,1.0705861810273614,True,115
UGC03205,1,67.0,387.11504365443557,1.0251114245251833,457.5923651980787,0.6217116005352381,True,357.89653908244355,0.9726239232359783,True,48
UGC03546,1,55.0,229.24250353462946,0.2503538187016799,269.8602964683586,0.06356623508580476,True,212.45859681859494,0.12516827636467937,True,30
UGC03580,2,63.0,422.5324764095078,3.3216279988737716,437.40761143143897,1.9963253606676237,True,285.35307307078546,0.8720743827175623,True,47
UGC04278,1,90.0,178.15086531903503,1.6257001419017538,190.2056181193284,1.080632045240307,False,167.97380235336357,1.38807490394031,True,25
UGC04305,3,40.0,161.21333750860782,1.2601872284399764,129.03296890730468,0.45638135874874347,False,125.665151761351,1.2753007999494212,False,22
UGC04325,1,41.0,56.91316282734929,1.9941486287336747,58.282715007157236,0.4272085530145322,True,44.78451352927887,1.0386352866475304,True,8
UGC04483,2,58.0,31.771790812673814,0.5935889110814252,49.93286000979125,1.955080956406408,True,28.208601423177306,0.4302332238887907,True,8
UGC04499,1,50.0,51.285015090722744,0.9690717554481179,69.83460605977281,1.4002660233548894,False,47.70240034862945,0.8906143001559774,True,9
UGC05005,1,41.0,79.7183501293721,0.3980514004962213,88.26439141573229,1.1735365205856496,False,74.88365561914931,0.2978140216120137,True,11
UGC05253,2,37.0,519.9252775344132,0.43768634630700803,640.52173539418,0.06800873733144229,True,489.1523633119801,0.6895000013359629,True,73
UGC05414,1,55.0,31.38974831484966,0.9485959122869093,37.77438988934079,0.5432179105697323,False,29.998303338273733,1.0381581987424628,True,6
UGC05716,2,54.0,53.3106393017462,0.29907431275439483,86.31242202791805,0.9970400908306699,True,45.80189028962157,0.2707300245182707,True,12
UGC05721,1,61.0,149.47657962413373,1.1053613366309742,222.29178060207335,2.9966650131109165,False,137.6700532391506,0.7776380707053782,True,23
UGC05750,1,64.0,73.82505626466268,0.4780898742263593,76.19391155092963,0.44705223495907237,False,71.3196229834006,0.5780888833530481,True,11
UGC05764,2,60.0,61.134264084960975,2.352072054722843,74.41942789446738,1.8735901456366455,True,52.72083611022792,2.1017709462457637,True,10
UGC05829,2,34.0,53.034570227459575,0.12448228399865859,59.98486216573732,0.0627234744575612,True,51.03104000672456,0.06204015505860121,True,11
UGC05918,2,46.0,41.46829112978669,0.40681471923711354,49.92545380335734,0.7962611326110685,True,37.0642626220433,0.0877025273501011,True,8
UGC05986,2,90.0,115.40012868087159,2.3064562769204127,136.50732631873757,1.8568199405226564,False,117.06313246364076,2.940099168285443,True,15
UGC05999,2,22.0,36.77073334953998,1.7391679625356677,37.02266546680368,1.2692755768423458,False,33.72631786983308,1.4159438607577246,True,5
UGC06399,1,75.0,51.96513728607708,0.2850654162730054,66.56493322669169,0.605696952942659,True,50.36234625703341,0.3514600580877946,True,9
UGC06446,1,51.0,95.53524301923765,0.24627320163081384,132.72982145453113,1.0317935122494402,True,90.37236429845993,0.15616913317257647,True,17
UGC06614,1,36.0,104.85930969332522,0.6032076999419262,126.6697154585796,0.930491171337538,True,97.51109563012055,0.2953562817699344,True,13
UGC06628,2,20.0,45.54726289288051,0.3850451627126094,42.152291161194654,0.11423183085263548,True,39.64232944179555,0.1758195628513982,True,7
UGC06667,1,89.0,57.6014150392777,1.3689267645684526,93.36150127976921,3.74937922833906,True,48.5954134150454,0.7324816986752481,True,9
UGC06786,1,64.0,337.7484823390373,0.5303588822704141,417.04711895682885,0.3498850826814575,True,300.4747981080961,0.2854321996024998,True,45
UGC06787,2,66.0,598.5721660603274,1.3566334206820083,664.4788306129615,0.2570931524716815,True,548.7802204154086,1.263283475834988,True,71
UGC06818,2,75.0,70.41811193181434,3.449197180086781,72.74280601811941,2.7666831761361337,False,64.54840378411417,2.853577271153282,True,8
UGC06917,1,56.0,66.60227297259482,0.5179864727958935,89.86111700287375,0.9198455539517113,True,62.65141210516893,0.5731459838863551,True,11
UGC06923,2,65.0,38.53545910136174,0.8459665169258148,47.78349133890895,1.1500857706867273,False,37.13657067458337,0.8294977019745141,True,6
UGC06930,1,32.0,66.24763417209061,0.3464418200127392,76.44904078404873,0.5446231349777,True,58.851523289910176,0.29449258623003394,True,10
UGC06973,3,71.0,104.99152444293628,5.0987176484191865,89.42752582728289,1.4315219968529942,True,59.73719691440618,0.5994314762518017,True,9
UGC06983,1,49.0,111.2940782586154,0.5622222202286395,144.44709090884209,0.9845085358178762,True,105.22449486694313,0.5300233229588907,True,17
UGC07089,2,80.0,70.20748475941836,0.45618279359180186,85.30445903414477,0.578253436266802,False,67.69961742999052,0.42057083973304304,True,12
UGC07125,1,90.0,66.24325753078679,0.5072629272142491,90.37259605792251,0.6722417535489883,False,59.68777991118919,0.41005354655125587,True,13
