Galaxy,best_m,best_rc,best_mu,best_B,best_chi2_pt,best_chi2_tot,best_nll,best_AIC,best_k_eff,N_pts,is_boundary,rc_lo90,rmin_used,ef_used,nfw_rs,nfw_chi2_pt,nfw_AIC,dAIC_yuk_nfw
NGC0300,0.06049187662816835,16.53114526677364,0.9460678163746781,6644.086753960004,0.18229818450867577,4.557454612716894,151.32949201384167,157.32949201384167,3,25,False,,0.0,6.0,9.627893239384193,0.3635104001467966,159.85979740479473,-2.5303053909530604
NGC0801,0.007318534275995081,136.6393819155862,0.3852857028871793,34197.22596718866,5.885231273457912,76.50800655495286,148.35956123569622,154.35956123569622,3,13,False,,0.0,6.0,171.85218534269552,4.187003027082391,132.28259403281442,22.076967202881804
NGC0891,0.1855296456591404,5.389974181469761,0.4496087954479655,28690.35182075244,6.4100955399627955,115.38171971933032,215.83701685748719,221.83701685748719,3,18,False,,0.0,6.0,2.8610916768857493,2.298911534834792,147.8357047651831,74.00131209230409
NGC1003,0.041041039603174026,24.365854512190822,0.946069461483124,10119.638653043206,0.7823931703952327,28.16615413422838,223.8091878655132,229.8091878655132,3,36,False,,0.0,6.0,27.839140402403352,0.3534322131135718,214.36659340337343,15.442594462139766
NGC1090,0.05091170406455473,19.641848929904718,0.3928328508447718,19855.990295129173,1.1885544225358151,28.525306140859563,162.47742447440692,168.47742447440692,3,24,False,,0.0,6.0,17.661639333381366,1.5774590361221799,177.81113520047967,-9.333710726072752
NGC1705,0.10593883346573395,9.439409207044472,1.3157778701849476,4254.463896825014,0.4763159563160463,6.668423388424648,85.74305277594607,91.74305277594607,3,14,False,,0.0,6.0,0.9894804514426969,0.09028628253648183,84.33863734303216,7.404415432913908
NGC2366,0.5,2.0,0.6589244439398837,1883.0412482562613,0.07615659750751386,1.9800715351953602,143.36120683759964,149.36120683759964,3,26,False,,0.0,6.0,9.627893239384193,0.35595189500205104,154.63588457245763,-5.274677734857988
NGC2403,0.11060507192089296,9.041176707657861,0.8828211641174216,14171.3423506173,0.6043050760036519,44.11427054826659,441.28680577552143,447.28680577552143,3,73,False,,0.0,6.0,13.040106515450876,0.31105325228759856,425.87942264424953,21.4073831312719
NGC2683,0.06315633414306439,15.833724575190793,0.7090968955719091,17102.992008740024,0.9225791714489294,10.148370885938224,78.6862231468899,84.6862231468899,3,11,False,,0.0,6.0,5.2484555073989805,0.604992709932779,81.19277207021224,3.4934510766776583
NGC2841,0.022446072872161025,44.55122308901797,1.198121946254417,57263.86100450246,1.1018513646831212,55.09256823415606,353.22310516168466,359.22310516168466,3,50,False,,0.0,6.0,47.33889311952441,0.5648997294580745,332.3755234004324,26.84758176125223
NGC2903,0.5,2.0,0.26138077138563837,36833.3828289766,11.077912423948199,376.64902241423874,565.0040355939891,571.0040355939891,3,34,False,,0.0,6.0,3.086521043010717,5.351268977250966,374.2981584062833,196.70587718770582
NGC2915,0.5,2.0,0.0,6761.726907552679,0.37350309416548144,11.205092824964444,190.3894183857865,194.3894183857865,2,30,False,,0.0,6.0,4.509792743102108,0.5971250578141623,201.09807729524692,-6.708658909460411
NGC2955,0.013970821760307176,71.5777509123424,0.5874670987844604,13458.39751281589,6.821928985682312,163.7262956563755,311.3035803014217,317.3035803014217,3,24,False,,0.0,6.0,4.180412283592646,2.6447954414047974,215.05237523876133,102.25120506266035
NGC2976,0.5,2.0,0.46691119436336764,4087.8915989206116,0.0998551685466224,2.6960895507588045,149.0737816821261,155.0737816821261,3,27,False,,0.0,6.0,0.5,0.4074606732146747,161.37913030816352,-6.305348626037414
NGC2998,0.013970821760307176,71.5777509123424,0.42150379417081996,32204.046270131013,5.147868320699848,66.92228816909802,148.41068522943405,154.41068522943405,3,13,False,,0.0,6.0,6.589370460244033,0.5499475055095824,92.63771463196058,61.772970597473474
NGC3109,0.261922111725308,3.8179289003623893,0.0,3938.593328837029,0.05866667663906955,1.4666669159767387,137.00156703761314,141.00156703761314,2,25,False,,0.0,6.0,200.00000000000003,0.5118428916709045,152.330972413409,-11.329405375795858
NGC3198,0.03765118429098579,26.559589527690203,0.746145835030313,16494.796223001067,0.5357344374079268,23.03658080854085,269.06605768107045,275.06605768107045,3,43,False,,0.0,6.0,19.053224297895927,0.47279993416511207,272.3598740416295,2.706183639440951
NGC3521,0.026669802080244245,37.495591343017644,0.3075696101427235,31668.228525390274,2.815052470088443,115.41715127362616,394.4473745868024,400.4473745868024,3,41,False,,0.0,6.0,2.112427929979546,0.24886044794766726,293.2335016790306,107.21387290777182
