Galaxy,m,rc,B,chi2_pt,is_boundary,dAIC,rmin,ef,N
UGC06930,0.0012499999999999996,,5600.19923285126,0.753300892762868,True,6.215175239357443,2.0,4.0,9
UGC06973,0.0012499999999999996,,0.0,71.6856093978055,True,0.0,3.0,6.0,7
UGC06983,0.0012499999999999996,,7231.908034612539,1.2864791620074214,True,17.760327188513997,3.0,3.0,15
UGC07089,0.0012499999999999996,,1878.4482533835155,1.4766388348502046,True,9.878987264408828,3.0,6.0,9
UGC07125,0.0012499999999999996,,1670.0343504397526,1.2695720724586383,True,11.8632278656139,3.0,4.0,11
UGC07151,0.0012499999999999996,,2308.016535352079,0.4227488855761062,True,2.433758550966161,3.0,3.0,6
UGC07232,0.0012499999999999996,,420.9415135557237,1.6327480439381694,True,3.8799210755005333,0.0,6.0,4
UGC07261,0.0012499999999999996,,3131.2532512947246,0.4471292299587497,True,1.644729858363302,3.0,4.0,4
UGC07323,0.0012499999999999996,,2040.7836421078453,0.7760989166519331,True,3.310683905760957,3.0,3.0,5
UGC07399,0.0012499999999999996,,8005.967179139588,1.2577243123196005,True,7.368063197191809,3.0,4.0,6
UGC07524,0.0012499999999999996,,3497.428671602456,0.667873159255446,True,13.562352671153661,3.0,6.0,23
UGC07559,0.0012499999999999996,,270.8614335576953,0.8172718833676548,True,4.538450045808531,0.0,6.0,7
UGC07577,0.0012499999999999996,,0.0,0.31007120924783155,True,0.0,0.0,3.0,9
UGC07603,0.0012499999999999996,,3121.5868604660277,0.2159584857124599,True,0.8007203311340874,3.0,3.0,4
UGC07608,0.0012499999999999996,,3589.7404541624733,0.13924479509184318,True,0.41442051796567725,3.0,6.0,3
UGC07690,0.0012499999999999996,,1500.7739610058356,0.0629104650260842,True,0.2513899975116054,2.0,4.0,4
UGC07866,0.0012499999999999996,,324.4212521995346,0.9776593059735121,True,6.65701817775448,0.0,4.0,7
UGC08286,0.0012499999999999996,,4963.970314930417,0.8252124766760759,True,8.953969150449424,3.0,4.0,11
UGC08490,0.0012499999999999996,,4882.891103699973,0.38294266837990515,True,7.4387633129476995,3.0,3.0,22
UGC08550,0.0012499999999999996,,2512.5179202871477,0.217905015556234,True,0.6998435273070633,3.0,3.0,5
UGC08699,0.0012499999999999996,,9465.002756845215,6.517214174329179,True,170.9340807079766,3.0,6.0,28
UGC08837,0.0012499999999999996,,992.5334057850865,0.2361581272391391,True,0.6189290954960995,3.0,3.0,3
UGC09037,0.0012499999999999996,,0.0,16.82777479927011,True,0.0,3.0,6.0,21
UGC09133,0.0012499999999999996,,7287.200668746954,73.47633457923763,True,2975.8055476582767,3.0,6.0,59
UGC09992,0.0012499999999999996,,345.3910799988808,0.007849178177348653,True,-0.0006962435977371229,2.0,4.0,3
UGC10310,0.0012499999999999996,,2872.442728356508,0.06655777482304841,True,0.1896135452523744,3.0,4.0,5
UGC11455,0.0012499999999999996,,0.0,30.49966761538407,True,0.0,3.0,6.0,32
UGC11557,0.0012499999999999996,,0.0,5.496362588880842,True,0.0,3.0,6.0,8
UGC11820,0.0012499999999999996,,4161.470308324253,1.6400693441747112,True,8.175442501073594,2.0,6.0,5
UGC11914,0.0012499999999999996,,0.0,6.964611783609189,True,0.0,3.0,6.0,35
UGC12506,0.0012499999999999996,,31163.492522462686,0.63593588662179,True,9.52841676599897,3.0,6.0,29
UGC12632,0.0012499999999999996,,3323.019552891802,0.9930858951942754,True,10.650125327938675,3.0,3.0,11
UGC12732,0.0012499999999999996,,5177.0986684627605,1.5582551639129667,True,19.680983939547446,3.0,6.0,13
UGCA281,0.0012499999999999996,,264.85171026380533,1.4555127074504302,True,9.935404170169086,0.0,4.0,7
UGCA442,0.0012499999999999996,,2640.380569109968,0.3849294464735355,True,1.3962993278246323,3.0,3.0,4
UGCA444,0.0012499999999999996,,959.3388649443175,0.13997928674956228,True,0.9202203682728083,2.0,3.0,9
