Galaxy,m,rc,mu,B,chi2_pt,is_boundary,dAIC,rmin,ef,N
UGC04483,0.0012499999999999996,,1.0,219.13108951935993,0.6696503426586716,True,4.9982573543249345,0.0,6.0,8
UGC04499,0.0012499999999999996,,0.9549925860214359,2931.5507786400003,0.995707577044188,True,5.491687746482349,3.0,4.0,6
UGC05005,0.0012499999999999996,,0.7943282347242815,4376.841994560637,3.8019026106953557,True,32.188403516737495,3.0,6.0,9
UGC05253,0.0012499999999999996,,0.251188643150958,43003.21168568472,1.1607039697421193,True,37.50941242082399,3.0,6.0,50
UGC05414,0.0012499999999999996,,1.0471285480508996,1348.7910972467948,1.1928996257533104,True,4.461462892712447,2.0,4.0,4
UGC05716,0.0012499999999999996,,0.9120108393559099,3787.8445337591106,0.9394241215500367,True,8.894829300359703,3.0,6.0,10
UGC05721,0.0012499999999999996,,1.0,5159.120175160565,0.01979163193978682,True,-0.027577928966849186,3.0,4.0,9
UGC05750,0.0012499999999999996,,1.2022644346174132,1749.5655075875968,1.1903804212756213,True,8.242962346481065,3.0,4.0,8
UGC05764,0.230150856467811,4.344976227102855,1.0,2593.859626423767,0.1879223132160121,False,-0.39730026684438613,2.0,3.0,5
UGC05829,0.0012499999999999996,,1.0,2139.7222979643757,1.1464061369489826,True,7.813064150075554,3.0,4.0,7
UGC05918,0.0012499999999999996,,1.0,1347.8060001304198,0.048770728555549724,True,0.1319689037930658,3.0,3.0,3
UGC05986,0.0012499999999999996,,0.7943282347242815,8643.42565448719,1.202427199704694,True,10.281988683808564,3.0,6.0,11
UGC05999,0.0012499999999999996,,0.9549925860214359,4957.894682978924,8.226476157403239,True,34.85919891505554,0.0,6.0,5
UGC06399,0.0012499999999999996,,1.0,4337.3489009566865,0.7690178255810075,True,4.382144084207297,3.0,6.0,6
UGC06446,0.0012499999999999996,,0.9120108393559099,4900.944097904974,0.5654049310080934,True,5.697253690790532,3.0,4.0,12
UGC06614,0.0012499999999999996,,0.3311311214825911,22406.135371440185,4.119019697610778,True,48.4954956588019,0.0,6.0,13
UGC06628,0.0012499999999999996,,0.7585775750291838,0.0,0.4096388859708188,True,0.0,3.0,6.0,5
UGC06667,0.0012499999999999996,,1.0471285480508996,5567.349464965202,1.1752520043916037,True,6.522677561734717,3.0,4.0,6
UGC06786,0.0012499999999999996,,0.251188643150958,39486.77450158979,2.9150697533458527,True,94.37953858529917,2.0,6.0,38
UGC06787,0.0012499999999999996,,0.251188643150958,47464.41869158918,5.951204656360723,True,229.7028418528473,3.0,6.0,53
UGC06818,0.0012499999999999996,,0.9120108393559099,2666.281401454504,2.5926775249300023,True,8.263016852266077,3.0,6.0,5
UGC06917,0.0012499999999999996,,0.9549925860214359,5701.176679210421,1.828503986166113,True,15.500118633821423,3.0,3.0,9
UGC06923,0.0012499999999999996,,1.0,2601.9711247538544,0.09110765825454507,True,0.262396005944737,3.0,3.0,3
UGC06930,0.0012499999999999996,,0.9120108393559099,5950.357822261198,0.7249108262752029,True,5.959664640968455,2.0,4.0,9
UGC06973,0.0012499999999999996,,0.2754228703338167,16291.527661803228,4.363707368966515,True,24.719970967986924,3.0,6.0,7
UGC06983,0.0012499999999999996,,0.7943282347242815,7838.163820089845,1.1305547863790146,True,15.421461554087898,3.0,3.0,15
UGC07089,0.0012499999999999996,,0.9549925860214359,1984.3822336139701,1.46818204751257,True,10.837455529933976,3.0,6.0,9
UGC07125,0.0012499999999999996,,0.7943282347242815,1912.8317290301347,1.0583074030920712,True,9.626622552217512,3.0,4.0,11
UGC07151,0.0012499999999999996,,1.0,2308.0165353520783,0.42274888557610635,True,2.433758550966168,3.0,3.0,6
UGC07232,0.0012499999999999996,,1.096478196143185,369.7988219344832,1.5637231923562864,True,3.707494486070228,0.0,6.0,4
