Galaxy,Q,inc0,nll_R,chi_R,nll_Y,chi_Y,bY,nll_N,chi_N,bN,N
F567-2,3,20.0,34.84014677334476,0.3428985980539845,27.13154052795775,0.3165954023988379,False,27.13154052795775,0.3165954023988379,False,5
F568-1,1,26.0,87.32172271597007,0.7955614446103995,85.272185466003,1.1832435483420094,False,84.00544460990785,0.7320480395425455,True,12
F568-3,1,40.0,140.73727945532698,1.7654858570868384,123.18240770851247,1.5074989707278748,False,123.4647501736304,1.4142040342478834,True,18
F568-V1,1,40.0,109.92934276555275,0.5130089537652124,110.67274558252109,0.9323552797136441,True,101.59178818235505,0.1677831544460228,True,15
F571-8,1,85.0,555.2762923950384,37.6924615480956,1051.117327844424,75.81829128681242,True,113.72351591225441,3.7268633571122263,True,13
F571-V1,2,30.0,41.86469495894349,0.22333129573811566,46.006360554178684,1.7383190055665996,True,37.163658430657414,0.24490182940005242,True,7
F574-1,1,65.0,92.54871763473089,1.5869450479256952,100.76687883109312,2.483987059468022,False,85.38487383502151,1.3211133820512229,True,14
F574-2,3,30.0,42.13525346411004,0.13662207485175196,32.092961682673064,0.24331734571422742,False,32.092961682673064,0.24331734571422742,False,5
F579-V1,1,26.0,124.41936329044945,2.2178598135181558,89.42838023852241,0.5248735801398519,True,85.4698448341102,0.24212105125326605,True,14
F583-1,1,63.0,177.94790776826363,1.519476915144879,203.6257989883976,2.6594780222412355,False,171.68939670099354,1.2691364724540755,True,25
F583-4,1,55.0,59.626396239169566,0.1264050752144685,64.90811760670351,0.6813839205251669,True,59.29802286340093,0.09904062723374851,True,12
IC2574,2,75.0,195.22837065810094,1.0657603985829234,279.3604346250699,3.7104094893554525,False,209.41282863976915,1.6443620218689525,True,34
IC4202,1,90.0,1163.3268259505335,30.85675336272776,1988.0272761480223,56.628642431399285,False,900.8405292334163,22.654056590317843,True,32
KK98-251,2,59.0,67.98761668802187,0.4974061354558943,65.03587830259724,0.3006235764275855,True,68.94553544013608,0.5612673855968419,True,15
NGC0024,1,64.0,186.81241243372622,0.6408085935719248,440.9119768670131,9.516559186172024,True,176.88064046371395,0.3322429151026014,True,29
NGC0055,2,77.0,153.80521888593142,2.6559406362515303,246.67258375377423,7.151977240465711,False,123.24510127655077,1.2574275645978037,True,21
NGC0100,1,89.0,143.18680026031944,1.7018603206850165,277.4647823893878,8.096049945878747,False,123.62433738927479,0.7703144696828894,True,21
NGC0247,2,74.0,160.62646153833765,1.117704440568881,171.23986245744214,1.5545765480799956,False,145.63130217967682,0.5567925322377026,True,26
NGC0289,2,46.0,215.096135935007,1.8086249817867117,231.48856978378979,2.3036353910013108,True,215.1374900121266,1.7196682562990537,True,28
NGC0300,2,42.0,153.33541473827205,0.8102671066753507,293.2744782616291,6.8763696064770485,False,140.0303805476239,0.5878295753496898,True,25
NGC0801,1,80.0,309.67735953087293,18.716914430032492,383.93661549843824,24.433220658160625,True,120.7792913143773,4.190349567079014,True,13
NGC0891,1,90.0,195.0983925782869,6.151892733735394,360.1536145336759,15.321627286812562,True,159.54866343528252,4.176907781346262,True,18
NGC1003,1,67.0,241.56984750693175,2.5079177812441795,642.9688155561015,13.67966619151599,True,192.67015405148447,1.1495929630373098,True,36
NGC1090,1,64.0,163.02100850166406,1.9831227149032884,596.7190226590351,20.154651945096543,True,164.2631161296835,2.060027597138068,True,24
NGC1705,3,80.0,75.28271161734864,0.21700801976690415,86.47626546752416,0.9898853236867152,True,73.49111832367512,0.06237481341178387,True,14
NGC2366,3,68.0,145.38253377283905,1.2718082060070317,330.24894969259304,8.480759347978495,False,146.63828308415788,1.4033252503785407,True,26
NGC2403,1,63.0,399.24672348355034,1.2425694258241158,3805.7645386153727,47.90719703036962,True,389.7397982824867,1.0983216501581325,True,73
NGC2683,2,80.0,89.28735772554641,1.921607765646877,82.3213748539883,1.352495630345487,True,76.24183614049491,0.7998102927551785,True,11
NGC2841,1,76.0,347.1256680982821,1.3437935006222903,377.1209409756109,1.9436989581688655,True,340.97969127580967,1.2208739641728412,True,50
NGC2903,1,66.0,423.05820659022413,7.822246476513343,964.4480183874432,23.745476235255083,True,335.610151234717,5.237201628655264,True,34
NGC2915,2,56.0,231.1795282134892,1.9790924656219402,283.45713661536314,3.564641887286197,True,207.50805860714772,1.0330059536790162,True,30
NGC2955,1,56.0,293.8962679852817,5.95140215356642,246.95636579318602,4.498253619879728,True,238.1025776455103,3.6266650560759444,True,24
NGC2976,2,61.0,149.86964338643855,1.163402709414344,134.511589768626,0.6754080621596169,False,134.511589768626,0.6754080621596169,False,27
NGC2998,1,58.0,104.96330774803513,2.414605431967464,146.07708966399383,5.577204040887363,True,101.18535719592964,2.1044398591052995,True,13
NGC3109,1,70.0,141.55488303713628,1.4891175977085935,693.5234841170588,23.58400315456784,True,147.2352320951563,1.7019984762554596,True,25
NGC3198,1,73.0,243.68727444228563,0.8827016890256539,1089.6139022436623,20.58022493584809,True,241.26896435457678,0.8264619195440527,True,43
NGC3521,1,75.0,302.0434827967923,0.5951975386001995,332.93148399880926,1.3485634215762228,True,286.86088972275576,0.224890390452967,True,41
NGC3726,2,53.0,92.01918998248,2.16014280340023,161.3644230851673,7.938912228624171,True,85.4121881950828,1.6095593211171304,True,12
NGC3741,1,70.0,99.77129370320509,0.7102516545859959,338.25617105554454,12.069998103587183,True,89.88090865888488,0.23761200275979885,True,21
NGC3769,2,70.0,78.92501434087161,0.790639952682593,106.36907506795197,3.077645013272623,True,79.92712280557937,0.8741489914082398,True,12
NGC3877,2,76.0,157.97414120839107,6.664905557166337,161.72545141698757,6.9534678809045305,True,124.40245963397383,4.082468512980397,True,13
NGC3893,1,49.0,69.43102693860975,0.9382854517960977,112.07249352196216,5.202432110131339,True,68.059100240535,0.8010927819886238,True,10
NGC3917,1,79.0,121.95724361237119,2.5041023284722344,155.65205479385912,4.495618811789537,False,119.37489619441197,2.352199539180516,True,17
NGC3949,2,55.0,45.84879440428872,0.40269398197129974,56.99694750622737,2.03298426947746,False,45.73629501578585,0.42431962798581413,True,7
NGC3953,1,62.0,58.62783314363662,1.733294428551933,49.43193999799886,0.5838077853472132,True,47.86667294077037,0.38814940319365254,True,8
NGC3972,1,77.0,63.331041423767566,1.2960301854677085,88.420725080605,3.8049985511514506,False,61.027603084984335,1.0656863515893857,True,10
NGC3992,1,56.0,67.60141030510178,1.9421493802259624,58.10466817206384,0.9232822228409733,True,55.488046513058045,0.6325464829514407,True,9
NGC4010,2,89.0,90.98014078234868,2.3690017556559155,153.66152332641425,7.592450300994712,False,86.63554360695491,2.0069519910397666,True,12
NGC4013,2,89.0,256.1289149504653,1.883713484722983,247.7554047823712,1.651115980053703,True,214.40753497819958,0.7247862632711586,True,36
NGC4051,2,49.0,51.53789898395026,1.306705825552383,49.24247902140053,1.0498337297829181,True,47.61450112476556,0.8172654588350656,True,7
NGC4068,2,44.0,36.96255614874084,1.4951081029648898,32.70592736230688,1.2752350982484282,False,34.147040308557216,1.4520708959008763,True,6
NGC4085,2,82.0,66.08006390150392,4.096016691423608,92.54384578791343,7.876556960910679,False,60.67170441715349,3.323393907944974,True,7
NGC4088,1,69.0,76.80028349311068,0.5734171814798747,121.72503675039948,4.317146619587274,True,74.5204232539862,0.3834288282194999,True,12
NGC4100,1,73.0,161.40932630382372,1.2863134444363435,188.61413345427997,2.4198470757053543,True,150.22000344089346,0.8200916584809165,True,24
NGC4138,2,53.0,55.23177101597561,0.8827263240050638,56.677626888997224,1.0892771630081517,True,54.74526512789228,0.8132254828503027,True,7
NGC4157,1,82.0,113.79289601574843,0.6518888967411375,167.26199523519819,3.797130027297005,True,107.57389097513293,0.2860650708225782,True,17
NGC4183,1,82.0,138.04879667498932,0.6539577993220166,187.30906338991673,2.79570852605799,True,126.67420325123197,0.15941025915865342,True,23
NGC4214,2,15.0,93.79687849194423,1.1447221950776605,109.16020415238626,2.2421025993949475,True,78.6235123015578,0.8430682245210195,True,14
NGC4217,1,86.0,268.9016218971834,8.425053317718868,533.3531968693432,22.34355726362201,True,180.14615929622548,3.753713180826345,True,19
NGC4389,3,50.0,60.55011569297166,4.181473762588056,70.5462207308444,6.064784138016918,False,63.403481138299426,4.771373476749443,True,6
NGC4559,1,67.0,181.14832803242462,0.5204929229812338,343.2665611154645,5.576117438734126,True,171.84784574519423,0.21928258341317966,True,32
NGC5005,1,68.0,142.38654138043276,0.06375811101066123,159.26805505664706,1.0016199819114562,True,142.78034180115515,0.08563591216190473,True,18
NGC5033,1,66.0,242.29635997527762,6.317797833858179,189.73727397384556,3.92874847015672,True,152.98545106288165,2.2540468705935566,True,22
NGC5055,1,55.0,160.46358212673073,0.9950883019368394,435.1744700771368,10.709939824304085,True,143.23926490266032,0.5226146122953994,True,28
NGC5371,1,53.0,304.18990801312754,11.39749574805493,111.87275321326058,1.3770563854746627,True,159.1602172776731,3.8658702836016374,True,19
NGC5585,1,51.0,174.76168981468493,3.1900262492025555,747.4764406685988,27.06514022058991,False,139.77875666787898,1.724874516469882,True,24
NGC5907,1,88.0,328.8057090120277,12.774679094445046,115.28332086943045,1.5400304573476342,True,147.37513720472376,3.2290734223630717,True,19
NGC5985,1,60.0,706.2382876805771,15.99945437749286,308.4334642452583,4.07318316536082,True,228.7410139286955,1.6582604284952824,True,33
NGC6015,2,60.0,425.5545554798938,5.119988109726593,1439.631083757666,28.167181934221414,True,368.6757857049273,3.8141215752004154,True,44
NGC6195,1,62.0,276.5185086905414,6.020752950491196,213.39905882064096,3.5779359297601823,True,211.2608577760787,3.560201070168192,True,23
NGC6503,1,74.0,160.21289871577122,0.9280304651009572,288.99432303191014,5.075101094407556,True,149.87183691851428,0.5926057855697572,True,31
NGC6674,1,54.0,147.63186090505243,4.970169814468254,120.8691821207754,3.2270710914104725,True,89.62773393805304,1.1032280166682942,True,15
